Col1,Col2,Col3,Col4
,,"score: 239, and 3 people voted ?",
23,The Fifth Season (The Broke...,"The Fifth Season (The Broken Earth, #1)",Want to Read
,,by ,Rate this book
,,N.K. Jemisin (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.30 avg rating — 283,653 ratings",
,,"score: 231, and 3 people voted ?",
24,Where the Crawdads Sing,Where the Crawdads Sing,Want to Read
,,by ,Rate this book
,,Delia Owens (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.38 avg rating — 3,161,007 ratings",
,,"score: 229, and 3 people voted ?",
25,Piranesi,Piranesi,Want to Read
,,by ,Rate this book
,,Susanna Clarke,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.23 avg rating — 315,211 ratings",
,,"score: 227, and 3 people voted ?",
26,Life of Pi,Life of Pi,Want to Read
,,by ,Rate this book
,,Yann Martel,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.94 avg rating — 1,655,439 ratings",
,,"score: 202, and 3 people voted ?",
27,Pachinko,Pachinko,Want to Read
,,by ,Rate this book
,,Min Jin Lee,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.33 avg rating — 503,649 ratings",
,,"score: 194, and 2 people voted ?",
28,A Thousand Splendid Suns,A Thousand Splendid Suns,Want to Read
,,by ,Rate this book
,,Khaled Hosseini (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.44 avg rating — 1,577,166 ratings",
,,"score: 192, and 3 people voted ?",
29,The Underground Railroad,The Underground Railroad,Want to Read
,,by ,Rate this book
,,Colson Whitehead (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.06 avg rating — 411,300 ratings",
,,"score: 181, and 2 people voted ?",
30,Homegoing,Homegoing,Want to Read
,,by ,Rate this book
,,Yaa Gyasi (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.47 avg rating — 356,950 ratings",
,,"score: 178, and 2 people voted ?",
31,The Road,The Road,Want to Read
,,by ,Rate this book
,,Cormac McCarthy,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.99 avg rating — 934,437 ratings",
,,"score: 175, and 2 people voted ?",
31,Americanah,Americanah,Want to Read
,,by ,Rate this book
,,Chimamanda Ngozi Adichie,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.32 avg rating — 381,044 ratings",
,,"score: 175, and 2 people voted ?",
31,Hamnet,Hamnet,Want to Read
,,by ,Rate this book
,,Maggie O'Farrell (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.20 avg rating — 274,348 ratings",
,,"score: 175, and 2 people voted ?",
31,The Corrections,The Corrections,Want to Read
,,by ,Rate this book
,,Jonathan Franzen,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.84 avg rating — 186,293 ratings",
,,"score: 175, and 2 people voted ?",
35,Normal People,Normal People,Want to Read
,,by ,Rate this book
,,Sally Rooney (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.81 avg rating — 1,501,689 ratings",
,,"score: 173, and 2 people voted ?",
36,Cutting for Stone,Cutting for Stone,Want to Read
,,by ,Rate this book
,,Abraham Verghese (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.32 avg rating — 397,970 ratings",
,,"score: 171, and 2 people voted ?",
37,Life After Life (Todd Famil...,"Life After Life (Todd Family, #1)",Want to Read
,,by ,Rate this book
,,Kate Atkinson,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.78 avg rating — 230,964 ratings",
,,"score: 159, and 2 people voted ?",
38,The Kite Runner,The Kite Runner,Want to Read
,,by ,Rate this book
,,Khaled Hosseini (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.35 avg rating — 3,223,420 ratings",
,,"score: 157, and 2 people voted ?",
39,The Song of Achilles,The Song of Achilles,Want to Read
,,by ,Rate this book
,,Madeline Miller (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.32 avg rating — 1,609,537 ratings",
,,"score: 152, and 2 people voted ?",
40,Lessons in Chemistry,Lessons in Chemistry,Want to Read
,,by ,Rate this book
,,Bonnie Garmus (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.29 avg rating — 1,414,510 ratings",
,,"score: 150, and 2 people voted ?",
41,Small Things Like These,Small Things Like These,Want to Read
,,by ,Rate this book
,,Claire Keegan,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.18 avg rating — 186,026 ratings",
,,"score: 142, and 2 people voted ?",
42,James,James,Want to Read
,,by ,Rate this book
,,Percival Everett,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.54 avg rating — 68,588 ratings",
,,"score: 139, and 2 people voted ?",
43,White Teeth,White Teeth,Want to Read
,,by ,Rate this book
,,Zadie Smith,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.79 avg rating — 162,028 ratings",
,,"score: 135, and 2 people voted ?",
44,Killers of the Flower Moon:...,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,Want to Read
,,by ,Rate this book
,,David Grann (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.14 avg rating — 378,474 ratings",
,,"score: 126, and 2 people voted ?",
45,"1Q84 (1Q84, #1-3)","1Q84 (1Q84, #1-3)",Want to Read
,,by ,Rate this book
,,Haruki Murakami,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.96 avg rating — 332,427 ratings",
,,"score: 123, and 2 people voted ?",
46,Klara and the Sun,Klara and the Sun,Want to Read
,,by ,Rate this book
,,Kazuo Ishiguro (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.75 avg rating — 361,433 ratings",
,,"score: 120, and 2 people voted ?",
47,The Lincoln Highway,The Lincoln Highway,Want to Read
,,by ,Rate this book
,,Amor Towles (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.23 avg rating — 274,103 ratings",
,,"score: 119, and 2 people voted ?",
47,Just Mercy,Just Mercy,Want to Read
,,by ,Rate this book
,,Bryan Stevenson,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.63 avg rating — 239,063 ratings",
,,"score: 119, and 2 people voted ?",
49,Kafka on the Shore,Kafka on the Shore,Want to Read
,,by ,Rate this book
,,Haruki Murakami,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.13 avg rating — 488,395 ratings",
,,"score: 118, and 2 people voted ?",
50,Sapiens: A Brief History of...,Sapiens: A Brief History of Humankind,Want to Read
,,by ,Rate this book
,,Yuval Noah Harari,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.36 avg rating — 1,080,254 ratings",
,,"score: 117, and 2 people voted ?",
51,The Immortal Life of Henrie...,The Immortal Life of Henrietta Lacks,Want to Read
,,by ,Rate this book
,,Rebecca Skloot (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.12 avg rating — 751,540 ratings",
,,"score: 113, and 2 people voted ?",
52,Drive Your Plow Over the Bo...,Drive Your Plow Over the Bones of the Dead,Want to Read
,,by ,Rate this book
,,Olga Tokarczuk,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.95 avg rating — 108,446 ratings",
,,"score: 107, and 2 people voted ?",
53,When Breath Becomes Air,When Breath Becomes Air,Want to Read
,,by ,Rate this book
,,Paul Kalanithi,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.40 avg rating — 699,612 ratings",
,,"score: 103, and 2 people voted ?",
54,"Girl, Woman, Other","Girl, Woman, Other",Want to Read
,,by ,Rate this book
,,Bernardine Evaristo,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.28 avg rating — 240,509 ratings",
,,"score: 100, and 2 people voted ?",
54,David Copperfield,David Copperfield,Want to Read
,,by ,Rate this book
,,Charles Dickens,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.03 avg rating — 243,182 ratings",
,,"score: 100, and 1 person voted ?",
56,Empire of Pain: The Secret ...,Empire of Pain: The Secret History of the Sackler Dynasty,Want to Read
,,by ,Rate this book
,,Patrick Radden Keefe,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.54 avg rating — 111,130 ratings",
,,"score: 99, and 2 people voted ?",
56,Great Expectations,Great Expectations,Want to Read
,,by ,Rate this book
,,Charles Dickens,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.79 avg rating — 819,196 ratings",
,,"score: 99, and 1 person voted ?",
58,Anxious People,Anxious People,Want to Read
,,by ,Rate this book
,,Fredrik Backman (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.18 avg rating — 670,653 ratings",
,,"score: 98, and 1 person voted ?",
59,My Year of Rest and Relaxation,My Year of Rest and Relaxation,Want to Read
,,by ,Rate this book
,,Ottessa Moshfegh,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.63 avg rating — 439,958 ratings",
,,"score: 93, and 2 people voted ?",
60,Atonement,Atonement,Want to Read
,,by ,Rate this book
,,Ian McEwan (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.94 avg rating — 530,020 ratings",
,,"score: 84, and 1 person voted ?",
61,Middlesex,Middlesex,Want to Read
,,by ,Rate this book
,,Jeffrey Eugenides,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.03 avg rating — 645,598 ratings",
,,"score: 83, and 1 person voted ?",
62,The Amazing Adventures of K...,The Amazing Adventures of Kavalier & Clay,Want to Read
,,by ,Rate this book
,,Michael Chabon,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.18 avg rating — 205,142 ratings",
,,"score: 81, and 1 person voted ?",
63,The Warmth of Other Suns: T...,The Warmth of Other Suns: The Epic Story of America's Great Migration,Want to Read
,,by ,Rate this book
,,Isabel Wilkerson (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.47 avg rating — 105,497 ratings",
,,"score: 78, and 1 person voted ?",
64,Bel Canto,Bel Canto,Want to Read
,,by ,Rate this book
,,Ann Patchett,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.93 avg rating — 292,103 ratings",
,,"score: 77, and 1 person voted ?",
65,"Gilead (Gilead, #1)","Gilead (Gilead, #1)",Want to Read
,,by ,Rate this book
,,Marilynne Robinson,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.85 avg rating — 113,930 ratings",
,,"score: 76, and 1 person voted ?",
66,Say Nothing: A True Story o...,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Want to Read
,,by ,Rate this book
,,Patrick Radden Keefe,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.46 avg rating — 114,684 ratings",
,,"score: 72, and 1 person voted ?",
67,A Visit from the Goon Squad,A Visit from the Goon Squad,Want to Read
,,by ,Rate this book
,,Jennifer Egan (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.70 avg rating — 233,144 ratings",
,,"score: 71, and 1 person voted ?",
68,Cloud Cuckoo Land,Cloud Cuckoo Land,Want to Read
,,by ,Rate this book
,,Anthony Doerr (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.26 avg rating — 229,181 ratings",
,,"score: 69, and 1 person voted ?",
69,The Book Thief,The Book Thief,Want to Read
,,by ,Rate this book
,,Markus Zusak (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.39 avg rating — 2,637,723 ratings",
,,"score: 68, and 1 person voted ?",
70,Cloud Atlas,Cloud Atlas,Want to Read
,,by ,Rate this book
,,David Mitchell,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.01 avg rating — 253,233 ratings",
,,"score: 67, and 1 person voted ?",
71,The Covenant of Water,The Covenant of Water,Want to Read
,,by ,Rate this book
,,Abraham Verghese (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.45 avg rating — 204,130 ratings",
,,"score: 66, and 1 person voted ?",
72,The Year of Magical Thinking,The Year of Magical Thinking,Want to Read
,,by ,Rate this book
,,Joan Didion,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.93 avg rating — 257,274 ratings",
,,"score: 65, and 1 person voted ?",
73,The Nickel Boys,The Nickel Boys,Want to Read
,,by ,Rate this book
,,Colson Whitehead (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.26 avg rating — 253,806 ratings",
,,"score: 64, and 1 person voted ?",
74,The Great Believers,The Great Believers,Want to Read
,,by ,Rate this book
,,Rebecca Makkai (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.29 avg rating — 144,561 ratings",
,,"score: 63, and 1 person voted ?",
75,Olive Kitteridge (Olive Kit...,"Olive Kitteridge (Olive Kitteridge, #1)",Want to Read
,,by ,Rate this book
,,Elizabeth Strout (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.85 avg rating — 242,053 ratings",
,,"score: 62, and 1 person voted ?",
76,The Brief Wondrous Life of ...,The Brief Wondrous Life of Oscar Wao,Want to Read
,,by ,Rate this book
,,Junot Diaz,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.89 avg rating — 267,647 ratings",
,,"score: 59, and 1 person voted ?",
77,Between the World and Me,Between the World and Me,Want to Read
,,by ,Rate this book
