Col1,Col2,Col3,Col4
99,In the Dream House,In the Dream House,Want to Read
,,by ,Rate this book
,,Carmen Maria Machado (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.42 avg rating — 134,950 ratings",
,,"score: 11, and 1 person voted ?",
100,Remarkably Bright Creatures,Remarkably Bright Creatures,Want to Read
,,by ,Rate this book
,,Shelby Van Pelt,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.39 avg rating — 712,939 ratings",
,,"score: 8, and 1 person voted ?",
