New York Times 100 Best Books of the 20th Century,,,,,,
"As voted on by 503 novelists, nonfiction writers, poets, critics (Critics List) as well as by readers (Readers List)",,,,,,
Title,Author,Rating,Number Ratings,Critics List,Readers List,Read?
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.14,"378,474",,Yes,
The Last Samurai,Helen DeWitt,4.14,"9,338",Yes,,
Kafka on the Shore,Haruki Murakami,4.13,"488,395",,Yes,
When We Cease to Understand the World,Benjamn Labatut,4.13,"42,182",Yes,,
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.12,"751,540",,Yes,
The Overstory,Richard Powers,4.12,"167,264",Yes,Yes,
The Dutch House,Ann Patchett,4.10,"472,748",,Yes,
Fun Home: A Family Tragicomic,Alison Bechdel,4.08,"186,156",Yes,,
Pastoralia,George Saunders,4.08,"23,511",Yes,,
Hurricane Season,Fernanda Melchor,4.07,"33,858",Yes,,
Station Eleven,Emily St. John Mandel,4.07,"540,782",Yes,Yes,
The Underground Railroad,Colson Whitehead,4.06,"411,300",Yes,Yes,
"My Brilliant Friend (The Neapolitan Novels, #1)",Elena Ferrante,4.05,"361,257",Yes,Yes,
"Hateship, Friendship, Courtship, Loveship, Marriage: Stories",Alice Munro,4.04,"20,971",Yes,,
On Earth We're Briefly Gorgeous,Ocean Vuong,4.04,"323,876",,Yes,
David Copperfield,Charles Dickens,4.03,"243,182",,Yes,
Middlesex,Jeffrey Eugenides,4.03,"645,598",Yes,Yes,
Stay True,Hua Hsu,4.03,"33,332",Yes,,
The Argonauts,Maggie Nelson,4.02,"50,740",Yes,,
Cloud Atlas,David Mitchell,4.01,"253,233",Yes,Yes,
Pulphead,John Jeremiah Sullivan,4.01,"7,576",Yes,,
"Sing, Unburied, Sing",Jesmyn Ward,4.01,"139,047",Yes,Yes,
"The Sympathizer (The Sympathizer, #1)",Viet Thanh Nguyen,4.01,"121,606",Yes,Yes,
Austerlitz,W.G. Sebald,4.00,"22,914",Yes,,
The Devil in the White City,Erik Larson,4.00,"700,620",,Yes,
The Heaven & Earth Grocery Store,James McBride,4.00,"209,825",,Yes,
The Road,Cormac McCarthy,3.99,"934,437",Yes,Yes,
Tom Lake,Ann Patchett,3.99,"341,815",,Yes,
"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,3.98,"111,423",Yes,,
Runaway: Stories,Alice Munro,3.98,"25,968",Yes,,
Tenth of December,George Saunders,3.98,"76,241",Yes,Yes,
There There,Tommy Orange,3.98,"193,990",,Yes,
"1Q84 (1Q84, #1-3)",Haruki Murakami,3.96,"332,427",,Yes,
Salvage the Bones,Jesmyn Ward,3.96,"67,222",Yes,,
Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,3.95,"108,446",,Yes,
Let the Great World Spin,Colum McCann,3.95,"106,305",,Yes,
The Goldfinch,Donna Tartt,3.95,"952,617",Yes,Yes,
An American Marriage,Tayari Jones,3.94,"367,348",Yes,,
Atonement,Ian McEwan,3.94,"530,020",Yes,Yes,
"Detransition, Baby",Torrey Peters,3.94,"81,434",Yes,,
Life of Pi,Yann Martel,3.94,"1,655,439",,Yes,
Bel Canto,Ann Patchett,3.93,"292,099",Yes,Yes,
The Year of Magical Thinking,Joan Didion,3.93,"257,272",Yes,Yes,
"The Human Stain (The American Trilogy, #3)",Philip Roth,3.91,"42,266",Yes,,
"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,3.91,"215,241",Yes,Yes,
Train Dreams,Denis Johnson,3.90,"25,416",Yes,,
A Brief History of Seven Killings,Marlon James,3.89,"35,763",Yes,,
The Brief Wondrous Life of Oscar Wao,Junot Daz,3.89,"267,647",Yes,Yes,
The Days of Abandonment,Elena Ferrante,3.87,"46,564",Yes,,
"Gilead (Gilead, #1)",Marilynne Robinson,3.85,"113,930",Yes,Yes,
Never Let Me Go,Kazuo Ishiguro,3.85,"729,433",Yes,Yes,
"Olive Kitteridge (Olive Kitteridge, #1)",Elizabeth Strout,3.85,"242,053",Yes,Yes,
The Corrections,Jonathan Franzen,3.84,"186,293",Yes,Yes,
The Known World,Edward P. Jones,3.83,"42,184",Yes,,
Trust,Hernan Diaz,3.83,"120,174",Yes,Yes,
All Aunt Hagar's Children: Stories,Edward P. Jones,3.82,"2,181",Yes,,
Normal People,Sally Rooney,3.81,"1,501,689",,Yes,
The Plot Against America,Philip Roth,3.81,"63,016",Yes,Yes,
Great Expectations,Charles Dickens,3.79,"819,196",,Yes,
White Teeth,Zadie Smith,3.79,"162,028",Yes,Yes,
10:04,Ben Lerner,3.78,"14,049",Yes,,
"Life After Life (Todd Family, #1)",Kate Atkinson,3.78,"230,963",Yes,Yes,
On Beauty,Zadie Smith,3.77,"84,662",Yes,,
The Friend,Sigrid Nunez,3.77,"45,796",Yes,,
